ad_id,delivery_country,punish_num,avg_ad_revenue,baseline_st
1747578422390810 ,US,1,4795.25,1.78
1758543228094480 ,SA,1,1063.767,1.67
1738303151826990 ,AU,2,5.365,1.84
1738303920938010 ,NZ,2,5.365,1.58
1738304016410620 ,NZ,2,5.365,1.58
1738304421208090 ,NZ,2,5.365,1.58
1738304605976620 ,NZ,2,5.365,1.58
1724385503656970 ,FI,1,491.045,1.62
1764813273437210 ,US,1,688.138,1.78
1763583923607580 ,NZ,2,5.365,1.58
1764585402541070 ,JP,16,23.7129,3.21
1765089254920220 ,JP,16,23.7129,3.21
1765121170665500 ,JP,16,23.7129,3.21
1763582835715070 ,MY,4,24.8528,2.3
1763766858169370 ,MY,4,24.8528,2.3
1767664297198600 ,JP,16,23.7129,3.21
1767664297196540 ,JP,16,23.7129,3.21
1767540892154930 ,US,2,3.9069,1.81
1767027023555630 ,TH,4,24.8528,1.87
1767187528079370 ,ID,4,24.8528,2.05
1767187070801970 ,ID,4,24.8528,2.05
1767187070787580 ,ID,4,24.8528,2.05
1767187070795790 ,ID,4,24.8528,2.05
1767392366439450 ,TH,4,24.8528,1.87
1760747822381050 ,TR,1,59.163,1.63
1760794835125260 ,TR,1,59.163,1.63
1767567705104400 ,VN,4,24.8528,2.13
1760966428402700 ,ID,1,51.9172,2.05
1768110086084620 ,MY,4,24.8528,2.3
1768110086089740 ,MY,4,24.8528,2.3
1763922466157560 ,SA,1,6.6441,1.78
1763922466156570 ,SA,1,6.6441,1.67
1769057503455260 ,BR,2,18.7293,1.7
1752697263961130 ,HU,1,1.2941,1.56
1752556244326410 ,US,1,57.3465,1.81
1768634999674930 ,MY,4,24.8528,2.3
1761058310589450 ,KW,1,4.4465,1.62
1762431676056620 ,ZA,1,19.4757,1.62
1769863071097850 ,DE,1,491.045,1.6
1762418479993900 ,SA,1,4.4465,1.67
1759566736804890 ,US,1,57.3465,1.81
1758504515470370 ,MY,1,55.9894,2.31
1762072797178930 ,CA,1,0.9749,1.81
1762072797178930 ,US,1,0.9749,1.81
1762072797178930 ,GB,1,0.9749,1.72
1765490213706780 ,MA,1,18.0746,1.51
1767591066245170 ,TR,1,59.163,1.63
1769433242777640 ,AR,2,9.5609,2.23
1769433242777640 ,BY,2,9.5609,2.14
1769433242777640 ,ID,2,9.5609,1.8
1769433242777640 ,CL,2,9.5609,1.85
1769433242777640 ,NL,2,9.5609,1.19
1769433242777640 ,EC,2,9.5609,1.56
1769433242777640 ,GR,2,9.5609,2.11
1769433242777640 ,UY,2,9.5609,1.56
1769433242777640 ,MY,2,9.5609,2.31
1769433242777640 ,HU,2,9.5609,1.56
1769433242777640 ,PL,2,9.5609,1.64
1769433242777640 ,DK,2,9.5609,1.31
1769433242777640 ,CH,2,9.5609,0.93
1769433242777640 ,AT,2,9.5609,0.89
1769433242777640 ,IL,2,9.5609,1.52
1769433242777640 ,NZ,2,9.5609,1.58
1769433242777640 ,PE,2,9.5609,1.68
1769433242777640 ,FI,2,9.5609,1.56
1769433242777640 ,CO,2,9.5609,1.93
1769433242777640 ,RO,2,9.5609,1.94
1769433242777640 ,ZA,2,9.5609,1.4
1769433242777640 ,MX,2,9.5609,1.99
1769433242777640 ,IE,2,9.5609,1.52
1769433242777640 ,PT,2,9.5609,1.98
1769433242777640 ,CZ,2,9.5609,1.9
1769433242777640 ,AU,2,9.5609,1.84
1769433242777640 ,JP,2,9.5609,2.16
1769433242777640 ,BR,2,9.5609,1.99
1769433242777640 ,BE,2,9.5609,1.15
1769433242777640 ,TH,2,9.5609,1.64
1769433242777640 ,DE,2,9.5609,1.01
1769433242777640 ,SE,2,9.5609,1.4
1769433242777640 ,GB,2,9.5609,1.76
1767310770010140 ,US,1,81.6381,1.78
1768381026016250 ,JP,1,7.9693,3.21
1769806555515900 ,GB,1,279.5204,1.76
1766046145567770 ,GB,1,49.0194,1.76
1766040677581840 ,GB,1,4.1173,1.72
1768490515148810 ,MY,1,4.8034,2.31
1768268537146410 ,CA,1,15.5896,1.81
1765513281695790 ,RO,1,34.9448,1.62
1767846771557410 ,CZ,1,168.7034,1.9
1768683803633710 ,TR,1,59.163,1.63
1767929633199130 ,CO,1,14.9087,1.93
1767929633199130 ,KW,1,14.9087,1.56
1768757338523690 ,TR,1,59.163,1.63
1765734253112320 ,SG,1,1.0978,1.62
1765734253112320 ,PH,1,1.0978,1.62
1765734253112320 ,MY,1,1.0978,2.3
1768609334612000 ,SA,1,15.5434,1.67
1768609350813740 ,SA,1,15.5434,1.67
1765745209394210 ,SG,1,1.0978,1.62
1765745209394210 ,PH,1,1.0978,1.62
1765745209394210 ,MY,1,1.0978,2.3
1768709743069210 ,CA,1,15.5896,1.81
1768709743049760 ,CA,1,15.5896,1.81
1768730973191180 ,SA,1,15.5434,1.67
1768512067480590 ,US,1,223.6033,1.78
1771745713852450 ,AU,2,6.0239,1.84
1768785234541580 ,CA,1,15.5896,1.81
1771349897478160 ,US,1,459.7409,1.81
1769152194142240 ,US,1,60.0674,1.78
1766766741748780 ,TH,1,13.3403,1.64
1769697873196060 ,TR,1,59.163,1.63
1766982916600860 ,HU,1,29.3904,1.62
1767036397794300 ,JP,1,18.0365,3.21
1769414692328490 ,SA,1,15.5434,1.67
1768231345710090 ,RO,1,79.5937,1.62
1769403466410030 ,SA,1,149.3789,1.78
1768161167809570 ,UY,1,39.0852,1.62
1770001135619120 ,AE,1,7.4989,1.67
1767389794976760 ,ID,1,10.8649,1.8
1767389794976760 ,ID,1,10.8649,1.8
1769173727700010 ,US,1,183.2936,1.78
1771048102945790 ,BR,1,272.6306,1.99
1771049136816140 ,BR,1,272.6306,1.99
1770014546613260 ,KR,1,21.7403,2.18
1769802647342090 ,FI,1,51.0029,1.56
1770229431976990 ,SA,1,15.5434,1.67
1770291097272330 ,US,1,16.2729,1.81
1770530310087680 ,SA,1,36.7482,1.67
1772305673447440 ,CA,2,44.2432,1.81
1770137213733900 ,GB,1,37.4693,1.72
1769919201437720 ,VN,1,1.1233,2.13
1769945885108220 ,MA,1,4.4465,1.62
1769239917258780 ,IT,1,20.6348,1.79
1769240090317870 ,IT,1,20.6348,1.79
1770109620602920 ,EG,1,4.4465,1.67
1768663964190730 ,TH,1,13.3403,1.64
1770526992146430 ,MA,1,183.2936,1.62
1770526992146430 ,PL,1,183.2936,1.84
1770783597742080 ,US,1,73.3632,1.81
1770783597742080 ,US,1,73.3632,1.78
1770618315063340 ,CA,1,51.0029,1.78
1770618315063340 ,CA,1,51.0029,1.78
1770618315063340 ,US,1,51.0029,1.78
1770510050770960 ,MX,1,3.9622,1.99
1771026424929280 ,KH,1,53.9181,1.5
1770774645761070 ,CA,1,51.0029,1.78
1770774645761070 ,US,1,51.0029,1.78
1770774645761070 ,US,1,51.0029,1.78
1769750040597520 ,ID,1,8.2306,1.8
1769643422768160 ,TH,1,13.3403,1.64
1771054132721680 ,NZ,1,51.0029,1.62
1771496742750200 ,CA,1,46.883,1.81
1771393422269490 ,ID,1,97.3635,2.05
1771473761239070 ,ZA,1,19.4858,1.62
1771438703302690 ,BR,1,0.4089,1.7
1769826449034250 ,CA,0,17144.4986,1.81
1771363718537210 ,MY,1,18.4393,2.31
1771529841160190 ,CO,1,2.5196,1.93
1771545697096720 ,MY,1,2.4476,2.3
1771522842758170 ,US,1,45.3408,1.81
1770478520777760 ,BR,1,7.4769,1.7
1772318057252860 ,BR,2,78.6434,1.7
1771042475868210 ,AU,1,39.0852,1.84
1772325058734120 ,BR,2,78.6434,1.7
1771300159769650 ,CA,1,126.1507,1.81
1771300159769650 ,ES,1,126.1507,1.79
1771928355293200 ,CA,1,88.9578,1.81
1771301336771600 ,ES,1,126.1507,1.79
1771651292498940 ,MX,1,81.6381,1.99
1771727856635900 ,SA,1,15.5434,1.67
1771728308589610 ,SA,1,15.5434,1.67
1771865617242160 ,US,1,97.0489,1.81
1771242320018450 ,GB,1,12.6726,1.72
1770837186637870 ,ID,1,8.2306,1.8
1770837186637870 ,ID,1,8.2306,1.8
1772669418796060 ,NZ,2,23.9294,1.58
1772669418796060 ,AU,2,23.9294,1.84
1771829420441650 ,MY,1,18.4393,2.31
1771829420441650 ,MY,1,18.4393,2.31
1771931148061710 ,TR,1,59.163,1.63
1771937246144560 ,TR,1,59.163,1.63
1772743630468090 ,VN,3,2.9423,2.13
1772744499351580 ,VN,3,2.9423,2.13
1772852345794560 ,CA,2,44.2432,1.81
1772774366423080 ,VN,3,2.9423,2.13
1771185756195850 ,SA,1,17.738,1.78
1771185756195850 ,SA,1,17.738,1.78
1771913417240610 ,US,1,9.1355,1.81
1771801444960300 ,FI,1,51.0029,1.56
1771185708064780 ,TH,1,2.482,1.64
1772047094262780 ,GR,1,23.1051,2.11
1772047094262780 ,CZ,1,23.1051,1.9
1772047094262780 ,HU,1,23.1051,1.56
1772047094262780 ,BH,1,23.1051,1.56
1772047094262780 ,HU,1,23.1051,1.56
1772047094262780 ,ID,1,23.1051,1.8
1772047094262780 ,DK,1,23.1051,1.31
1772047094262780 ,PL,1,23.1051,1.64
1772047094262780 ,TW,1,23.1051,0.95
1772047094262780 ,PT,1,23.1051,1.98
1772047094262780 ,FI,1,23.1051,1.56
1772047094262780 ,PT,1,23.1051,1.98
1772047094262780 ,IL,1,23.1051,1.52
1772047094262780 ,NO,1,23.1051,1.56
1772047094262780 ,FI,1,23.1051,1.56
1772047094262780 ,BE,1,23.1051,1.15
1772047094262780 ,IE,1,23.1051,1.52
1772047094262780 ,PK,1,23.1051,1.36
1772047094262780 ,US,1,23.1051,1.78
1772047094262780 ,CA,1,23.1051,1.78
1772047094262780 ,BR,1,23.1051,1.99
1772047094262780 ,ID,1,23.1051,1.8
1772047094262780 ,TW,1,23.1051,0.95
1771613244955680 ,RO,1,79.5937,1.62
1771801578430490 ,BR,1,7.1213,1.7
1771205328056320 ,IT,1,3.2711,1.79
1771873289239600 ,BE,1,183.2936,1.62
1771873289239600 ,DK,1,183.2936,1.62
1771873289239600 ,CA,1,183.2936,1.81
1771297552885760 ,PL,1,7.4769,1.84
1772211609189390 ,NO,1,23.1051,1.56
1772211865033740 ,NO,1,23.1051,1.56
1772212171921440 ,NO,1,23.1051,1.56
1771918735167520 ,US,1,23.9488,1.78
1771918735167520 ,US,1,23.9488,1.78
1772481162313740 ,CO,1,202.7676,1.93
1771701277824010 ,IT,1,5.4057,1.79
1772300010995740 ,FR,1,29.6427,1.76
1771582535609360 ,SA,1,7.1257,1.67
1771582535590930 ,SA,1,7.1257,1.67
1771843202912280 ,AU,1,33.0449,1.84
1772299036812320 ,RO,1,4.4736,1.62
1772928814018610 ,VN,3,2.9423,2.13
1771566785046570 ,AE,1,1.4044,1.67
1771821740358650 ,IT,1,34.4275,1.79
1772050451084370 ,US,1,29.1538,1.81
1772495933222940 ,MX,1,163.8814,1.62
1772397052956700 ,TR,1,59.163,1.63
1772652497968140 ,IT,1,280.8588,1.79
1771923224519730 ,JP,1,67.6864,3.21
1772344098262030 ,IT,1,14.1795,1.79
1772103064900620 ,KR,1,6.4579,2.18
1772033749426170 ,AE,1,11.9838,1.67
1772453259549690 ,TH,1,22.2582,1.87
1772479614618650 ,LB,1,11.4411,1.56
1772479614618650 ,SA,1,11.4411,1.78
1772479614618650 ,EG,1,11.4411,1.78
1772479614618650 ,FI,1,11.4411,1.56
1772479614618650 ,QA,1,11.4411,1.56
1772479614618650 ,DK,1,11.4411,1.31
1772479614618650 ,IE,1,11.4411,1.52
1772479614618650 ,OM,1,11.4411,1.56
1772479614618650 ,NO,1,11.4411,1.56
1772479614618650 ,AE,1,11.4411,1.78
1772479614618650 ,MA,1,11.4411,1.51
1771777377688610 ,GB,1,588.9142,1.72
1772473315170350 ,DE,1,26.4371,1.6
1771950835811360 ,CA,1,7.4769,1.81
1772541894774800 ,BR,1,0.9293,1.7
1772569215332400 ,AE,1,3.8767,1.67
1772572364759040 ,US,1,4.1761,1.81
1772572364759040 ,CA,1,4.1761,1.81
1772998101648410 ,VN,3,2.9423,2.13
1772042341555230 ,VN,1,7.9852,2.14
1772546264036380 ,US,1,9.1355,1.81
1772562893428780 ,VN,3,4.9202,2.14
1772028573700090 ,ZA,1,30.4787,1.4
1772654123130880 ,BR,1,16.3824,1.7
1772183308941310 ,TH,1,13.3403,1.64
1772694967510010 ,US,1,19.2794,1.81
1772658142132240 ,IT,1,8.2251,1.79
1772700540682240 ,US,1,19.2794,1.81
1772484481983520 ,AE,1,5.4858,1.67
1772541310500910 ,KR,1,36.5834,2.18
1772498782586910 ,SA,1,3.0115,1.67
1772743997401130 ,NO,1,9.9131,1.62
1772890301521960 ,BE,1,29.8315,1.62
1772679716828200 ,US,1,13.4636,1.81
1772492360714270 ,AE,1,1.4044,1.67
1772681186487340 ,PE,1,13.4636,1.62
1772934990074890 ,US,1,53.411,1.81
1771940809330800 ,GB,1,434.41,1.72
1772546940183560 ,JP,1,3.9581,3.21
1772698828757000 ,CL,1,41.5913,1.62
1773016717830140 ,EG,2,1.5183,1.78
1773016717830140 ,EG,2,1.5183,1.78
1772951249118200 ,BR,1,7.1907,1.99
1772771033070610 ,NL,1,5.2745,1.62
1773112965960700 ,US,2,9.9047,1.78
1772935039483900 ,PL,1,8.2251,1.84
1773113020367920 ,US,2,9.9047,1.78
1773119087299600 ,CA,2,44.2432,1.81
1773119371607090 ,CA,2,44.2432,1.81
1772635376512010 ,TR,1,0.6296,1.63
1772707542468610 ,SA,1,7.1257,1.67
1772945766653950 ,SA,1,9.6494,1.67
1772763620198400 ,AE,1,1.4863,1.67
1772988059729930 ,IL,1,28.9462,1.52
1772988059729930 ,EG,1,28.9462,1.78
1772988059729930 ,KW,1,28.9462,1.56
1772988059729930 ,JO,1,28.9462,1.56
1772988059729930 ,QA,1,28.9462,1.56
1772988059729930 ,SA,1,28.9462,1.78
1772988059729930 ,AE,1,28.9462,1.78
1772988059729930 ,IQ,1,28.9462,1.56
1772977229258760 ,TH,1,183.2936,1.64
1772977229258760 ,JP,1,183.2936,2.16
1772977229258760 ,FI,1,183.2936,1.56
1772977229258760 ,GB,1,183.2936,1.72
1772977229258760 ,PL,1,183.2936,1.64
1772977229258760 ,FR,1,183.2936,1.97
1772977229258760 ,BE,1,183.2936,1.62
1772977229258760 ,IE,1,183.2936,1.52
1772977229258760 ,HU,1,183.2936,1.56
1772977229258760 ,IL,1,183.2936,1.52
1772977229258760 ,BR,1,183.2936,1.99
1772977229258760 ,JP,1,183.2936,2.16
1772977229258760 ,CA,1,183.2936,1.78
1772977229258760 ,CH,1,183.2936,0.93
1772977229258760 ,PL,1,183.2936,1.64
1772999635920940 ,US,1,9.1355,1.81
1773016920079410 ,ES,1,6.0125,1.79
1772993446242300 ,PT,1,2.3399,0.54
1773171106415650 ,VN,2,3.1482,2.13
1772983316127740 ,US,1,75.9558,1.81
1773011982034940 ,RO,1,0.6874,0.54
1772989250400290 ,GB,1,6.9809,1.72
1773037092497440 ,IT,1,22.1627,1.79
1773053416248370 ,BR,1,249.7083,1.7
1773053416248370 ,BR,1,249.7083,1.7
1773062486695980 ,EC,1,35.2836,1.56
1773076182238240 ,BR,1,12.9423,1.7
1773033738805280 ,US,1,93.0174,1.81
1773011082215450 ,CL,1,3.9723,1.62
1773211794935820 ,CA,2,44.2432,1.81
1773158418017280 ,AR,2,90.9931,1.62
1773100616952860 ,JP,1,5.4492,3.21
1773016117514250 ,AT,1,30.0762,0.89
1773016117514250 ,AT,1,30.0762,0.89
1773027652395000 ,SA,1,50.7378,1.67
1773102151430190 ,ID,1,19.7581,2.05
1773025854953470 ,PE,1,1.5149,1.62
1773026387237920 ,MX,1,1.5149,1.62
1773027080949770 ,MX,1,1.5149,1.62
1773033563342890 ,BR,1,3.2711,1.7
1772984166520830 ,CA,1,8.3497,1.81
1773144012654640 ,US,1,35.9524,1.81
1773101825365010 ,IE,1,42.8781,1.62
1773119055339530 ,SA,1,2.3008,1.67
1773166337329260 ,MY,1,12.1507,2.3
1773166337329260 ,MY,1,12.1507,2.3
1773097205615660 ,TW,1,2.3029,2.59
1773263292438530 ,US,3,12.5146,1.81
1773102604812280 ,SG,1,3.7608,1.53
1773138578592780 ,BR,1,14.884,1.7
1773140828054560 ,BR,1,14.884,1.7
1773227171948540 ,BR,2,1.5386,1.7
1773176830199820 ,US,1,6.1151,1.81
1773112443809790 ,NZ,1,18.0365,1.58
1773112443809790 ,SG,1,18.0365,1.94
1773112443809790 ,GB,1,18.0365,1.76
1773112443809790 ,AU,1,18.0365,1.84
1773103976550400 ,IT,1,3.566,1.79
1773112643698690 ,JO,1,18.0365,1.56
1773112643698690 ,SG,1,18.0365,1.94
1773112643698690 ,US,1,18.0365,1.78
1773112732175400 ,US,1,18.0365,1.78
1773112732175400 ,GR,1,18.0365,2.11
1773112732175400 ,SG,1,18.0365,1.94
1773112732175400 ,CA,1,18.0365,1.78
1773112732175400 ,JO,1,18.0365,1.56
1773112732175400 ,TR,1,18.0365,0.83
1773112837179390 ,NZ,1,18.0365,1.58
1773112837179390 ,AU,1,18.0365,1.84
1773112837179390 ,GB,1,18.0365,1.76
1773124514154510 ,SA,1,3.0115,1.67
1773122867744810 ,SA,1,3.0115,1.67
1773197871579150 ,TW,1,71.621,2.59
1773198926504960 ,TW,1,71.621,2.59
1773138302135340 ,SA,1,42.9787,1.78
