moderator,market,Productivity,Utilisation %,handling time,  accuracy  
1689841547143170,"[""SA"", ""OM"", ""BH"", ""QA"", ""JO"", ""IQ"", ""KW"", ""EG"", ""LB""]",286.2176744,0.812403101,123549,                  -   
1686755036370945,"[""RO""]",174.56,0.704833333,25547, 0.959 
1741913197768705,"[""VN""]",334.376,0.819166667,50794, 1.000 
1743415203890193,"[""MX"", ""UY"", ""CL"", ""AR"", ""CO"", ""EC"", ""PE"", ""BR""]",452.2775,0.775473958,89626, 0.941 
1710346282427393,"[""PH""]",612.3125,0.843229167,98066, 0.887 
1748544247125010,"[""MX"", ""UY"", ""CO"", ""CL"", ""AR"", ""EC"", ""PE"", ""BR""]",292.33,0.678776042,80656, 0.739 
1693678171087873,"[""VN""]",189.18,0.8505,48657, 0.952 
1771763479218193,"[""DK""]",259.58,0.839270833,72591, 0.881 
1694041901312002,"[""TR""]",313.5525,0.877083333,101102, 1.000 
6728796,"[""TR"", ""GB"", ""IE""]",441.625,0.617239583,75246, 0.766 
1710346245842945,"[""PH""]",321.7166667,0.878472222,63382, 0.964 
5090932,"[""AU"", ""NZ"", ""SG""]",732.022,0.9039125,130291, 0.949 
6283878,"[""MX"", ""CL"", ""AR"", ""CO"", ""PE"", ""BR""]",337.825,0.577010417,51819, 0.665 
5916755,"[""NO""]",272.1725,0.255161458,37998, 0.766 
1695200048739329,"[""IT""]",164.1133333,0.709354167,58799, 0.760 
1716552374593537,"[""ID""]",104.055,0.377083333,12672, 0.966 
1312666,"[""SA"", ""OM"", ""BH"", ""QA"", ""AE"", ""DZ"", ""JO"", ""IQ"", ""KW"", ""TN"", ""MA"", ""LB"", ""EG""]",,,0, 0.719 
1737654173573122,"[""VN""]",373.842,0.831379167,123420, 0.906 
1672986653202437,"[""KZ""]",269.8375,0.619338542,78369, 0.851 
1752804614390817,"[""MX"", ""UY"", ""CL"", ""CO"", ""AR"", ""EC"", ""PE"", ""BR""]",835.2433333,0.789854167,69947, 0.844 
7389679,"[""MX"", ""CO"", ""CL"", ""AR"", ""PE"", ""BR""]",456.54,0.765380208,92271, 0.800 
1736353481347074,"[""MX"", ""UY"", ""CO"", ""AR"", ""CL"", ""EC"", ""PE"", ""BR""]",130.6105263,0.650623782,40716, 0.752 
2735217,"[""VN""]",,,0, 0.763 
1758321775497234,"[""KH""]",398.5175,1.114421875,96762, 0.826 
8626002,"[""TH""]",548.998,0.889754167,126580, 0.837 
7977305,"[""JP""]",491.1333333,0.605868056,82903, 0.859 
1811986,"[""ID""]",506.918,0.866354167,122544, 0.818 
1732422617628673,"[""ID""]",326.985,0.687723958,102384, 0.947 
1671850168837125,"[""SA"", ""BH"", ""OM"", ""QA"", ""JO"", ""IQ"", ""KW"", ""LB"", ""EG""]",,,0, 0.869 
1773654622274561,"[""KH""]",217.505,0.914135417,104618, 0.909 
8239853,"[""AU"", ""PH""]",545.56,0.753895833,21289, 0.947 
2326827,"[""MX"", ""CL"", ""AR"", ""CO"", ""PE"", ""BR""]",577.7725,0.652697917,90891, 0.744 
1707706610145282,"[""NL""]",266.56,0.758988889,39941, 0.889 
1735138527102977,"[""IT""]",235.8,0.68878125,39220, 0.942 
